Id,Burg,Province,Province Full Name,State,State Full Name,Culture,Religion,Population,X,Y,Latitude,Longitude,Elevation (ft),Temperature,Temperature likeness,Capital,Port,Citadel,Walls,Plaza,Temple,Shanty Town,Emblem,City Generator Link
432,Iususimimi,Briggania,Briggania Province,West Esla,Kingdom of West Esla,Esla'rei,Deities of Wisdom,741,1342.33,501.44,40.63,18.72,52,59°F,Rome,,,,walls,plaza,,,{t1:argent;charges:[{charge:spear;t:sable;p:e;t2:sable;size:1.5}];shield:heater},https://watabou.github.io/city-generator/?name=Iususimimi&population=741&size=8&seed=8563657060432&river=0&coast=0&farms=1&citadel=0&urban_castle=0&hub=false&plaza=1&temple=0&walls=1&shantytown=0&gates=-1
433,Olt'kar'th,Kili'ini,Kili'ini Province,Pareptul,Empire of Pareptul,Kili'ini,Deities of Trade,442,1067.62,523.82,39.54,5.27,118,59°F,Rome,,,,,plaza,,,{t1:argent;division:{division:perBend;t:vert;line:straight};charges:[{charge:shipWheel;t:gules;p:l;size:0.7};{charge:palace;t:or;p:m;size:0.7}];shield:heater},https://watabou.github.io/village-generator/?pop=442&name=&seed=8563657060433&width=800&height=364&tags=river%2Cdead+end%2Cdense
434,Mach Aireth,Nylmas,Nylmas Province,Illoveth,Kingdom of Illoveth,Nevterish,Deities of Nature,528,548,535,39,-20.17,1890,54°F,Paris,,port,,,plaza,,,{t1:purpure;division:{division:perPale;t:or;line:potentyDexter};charges:[{charge:carreau;t:argent;p:e;divided:counter;size:1.5}];shield:heater},https://watabou.github.io/village-generator/?pop=528&name=&seed=8563657060434&width=1000&height=455&tags=coast%2Chighway%2Cdense
435,Laril,Ti'yare,Ti'yare Province,Esla,Eslan Empire,Vealian,Deities of the Realm,163,1472,544.5,38.54,25.07,82,61°F,Dubrovnik,,port,,,,,,{t1:gules;ordinaries:[{ordinary:fess;t:or;line:straight}];charges:[{charge:snake;t:gules;p:def;t2:gules;size:0.5}];shield:heater},https://watabou.github.io/village-generator/?pop=163&name=&seed=8563657060435&width=600&height=273&tags=coast%2Chighway%2Cno+square
436,Illentus,Imins,Imins Province,Salvania,Salvanian Kingdom,Kili'ini,Deities of Trade,902,973.56,556.86,37.94,0.66,13,61°F,Dubrovnik,,,citadel,,plaza,,,{t1:purpure;charges:[{charge:earOfWheat;t:argent;p:e;size:1.5}];shield:heater},https://watabou.github.io/city-generator/?name=Illentus&population=902&size=8&seed=8563657060436&river=0&coast=0&farms=1&citadel=1&urban_castle=1&hub=false&plaza=1&temple=0&walls=0&shantytown=0&gates=-1
437,Graj'han,G'risia,G'risia Province,Pareptul,Empire of Pareptul,Kili'ini,Deities of Trade,196,1056,559.5,37.81,4.7,30,61°F,Dubrovnik,,port,,,,,,{t1:or;division:{division:perCross;t:gules;line:engrailed};charges:[{charge:estoile;t:sable;p:j;divided:counter;size:0.6}];shield:heater},https://watabou.github.io/village-generator/?pop=196&name=&seed=8563657060437&width=600&height=273&tags=coast%2Cdead+end%2Cno+square
438,Rran'jess,Imins,Imins Province,Salvania,Salvanian Kingdom,Kili'ini,Deities of Trade,116,977.1,574.6,37.07,0.84,30,61°F,Dubrovnik,,,,walls,plaza,,,{t1:vert;division:{division:perPale;t:bendy-or-purpure;line:straight};charges:[{charge:hatchet;t:argent;p:p;t2:argent;size:0.7};{charge:millstone;t:gules;p:q;size:0.7}];shield:heater},https://watabou.github.io/city-generator/?name=Rran%27jess&population=116&size=6&seed=8563657060438&river=0&coast=0&farms=1&citadel=0&urban_castle=0&hub=false&plaza=1&temple=0&walls=1&shantytown=0&gates=-1
439,Aresh,Armilia,Armilia Province,West Esla,Kingdom of West Esla,Kili'ini,Deities of Trade,911,1167.43,575.11,37.05,10.16,397,59°F,Rome,,port,,walls,plaza,,,{t1:gules;division:{division:perFess;t:potent-or-vert;line:straight};charges:[{charge:cannon;t:argent;p:k;t2:argent;size:0.7};{charge:garb;t:purpure;p:n;size:0.7}];shield:heater},https://watabou.github.io/city-generator/?name=Aresh&population=911&size=8&seed=8563657060439&river=0&coast=1&farms=1&citadel=0&urban_castle=0&hub=false&plaza=1&temple=0&walls=1&shantytown=0&gates=-1&sea=0.44
440,Manarwinntyr,Nylmas,Nylmas Province,Illoveth,Kingdom of Illoveth,Nevterish,Deities of Nature,1238,556.66,589.33,36.36,-19.75,840,59°F,Rome,,,citadel,walls,plaza,,shanty town,{t1:azure;charges:[{charge:sickle;t:or;p:jln;t2:or;size:0.7}];shield:heater},https://watabou.github.io/city-generator/?name=Manarwinntyr&population=1238&size=9&seed=8563657060440&river=0&coast=0&farms=1&citadel=1&urban_castle=1&hub=false&plaza=1&temple=0&walls=1&shantytown=1&gates=-1
441,Apjij'ass,Osnia,Osnia Province,Pareptul,Empire of Pareptul,Kili'ini,Deities of Trade,112,1144.6,593.5,36.16,9.04,472,61°F,Dubrovnik,,,,,,,,{t1:or;ordinaries:[{ordinary:terrace;t:azure;line:straight}];charges:[{charge:crossHummetty;t:purpure;p:def;size:0.5}];shield:heater},https://watabou.github.io/village-generator/?pop=112&name=&seed=8563657060441&width=600&height=273&tags=dead+end%2Cno+square
442,Sunyurt,Haulstha,Haulstha Province,Irdre,Irdrean Consulate,Maysiolian,Deities of Nature,652,799.74,603.94,35.65,-7.85,210,63°F,Lisbon,,,,walls,plaza,,,{t1:azure;charges:[{charge:scrollClosed;t:argent;p:e;t2:argent;size:1.5}];shield:heater},https://watabou.github.io/city-generator/?name=Sunyurt&population=652&size=7&seed=8563657060442&river=1&coast=0&farms=1&citadel=0&urban_castle=0&hub=false&plaza=1&temple=0&walls=1&shantytown=0&gates=-1
443,Raler,Weila Aldsa,Weila Aldsa Province,Abeia,The Union Sovereign Cities of the Abeian Strait,Kili'ini,Deities of Trade,582,1197.4,603.6,35.67,11.62,118,63°F,Lisbon,,,,,plaza,,,{t1:or;ordinaries:[{ordinary:cross;t:purpure;line:straight}];charges:[{charge:spiral;t:argent;p:behdf;size:0.3}];shield:heater},https://watabou.github.io/village-generator/?pop=582&name=&seed=8563657060443&width=1000&height=455&tags=highway%2Cdense
444,Machsenore,Nylmas,Nylmas Province,Illoveth,Kingdom of Illoveth,Nevterish,Deities of Nature,2156,623.56,611.6,35.28,-16.47,397,61°F,Dubrovnik,,,citadel,walls,plaza,temple,,{t1:argent;ordinaries:[{ordinary:pile;t:gules}];charges:[{charge:boat;t:argent;p:b;t2:argent;size:0.5}];shield:heater},https://watabou.github.io/city-generator/?name=Machsenore&population=2156&size=12&seed=8563657060444&river=0&coast=0&farms=1&citadel=1&urban_castle=1&hub=false&plaza=1&temple=1&walls=1&shantytown=0&gates=-1
445,Krapjer,Imins,Imins Province,Salvania,Salvanian Kingdom,Kili'ini,Deities of Trade,200,988.47,608.09,35.45,1.39,52,63°F,Lisbon,,,,,plaza,,,{t1:gules;charges:[{charge:oak;t:argent;p:e;t2:argent;t3:argent;size:1.5}];shield:heater},https://watabou.github.io/village-generator/?pop=200&name=&seed=8563657060445&width=600&height=273&tags=dead+end
446,Skaph,Osnia,Osnia Province,Pareptul,Empire of Pareptul,Kili'ini,Deities of Trade,1644,1131,611.5,35.28,8.37,266,61°F,Dubrovnik,,port,,walls,plaza,,,{t1:azure;charges:[{charge:elephantHeadErased;t:argent;p:e;t2:argent;size:1.5}];shield:heater},https://watabou.github.io/city-generator/?name=Skaph&population=1644&size=10&seed=8563657060446&river=0&coast=1&farms=1&citadel=0&urban_castle=0&hub=false&plaza=1&temple=0&walls=1&shantytown=0&gates=-1&sea=1.5
447,Matheas,Reine,Reine Province,Varcii,Varciian Commonwealth,Nevterish,Deities of Nature,127,720.71,617.66,34.98,-11.72,554,61°F,Dubrovnik,,,,walls,plaza,,,{t1:argent;division:{division:perPale;t:azure;line:straight};charges:[{charge:pegasus;t:vert;p:e;t2:vert;t3:vert;divided:counter;size:1.5}];shield:heater},https://watabou.github.io/city-generator/?name=Matheas&population=127&size=6&seed=8563657060447&river=1&coast=0&farms=1&citadel=0&urban_castle=0&hub=false&plaza=1&temple=0&walls=1&shantytown=0&gates=-1
448,Sheone,Gelulallesa,Gelulallesa Province,Varcii,Varciian Commonwealth,Nevterish,Deities of Nature,699,683.08,621.17,34.81,-13.56,266,61°F,Dubrovnik,,,,walls,plaza,,,{t1:gemelles-or-sable-small;division:{division:perPile;t:azure;line:straight};charges:[{charge:spiral;t:gules;p:abceh;size:0.4}];shield:heater},https://watabou.github.io/city-generator/?name=Sheone&population=699&size=8&seed=8563657060448&river=0&coast=0&farms=1&citadel=0&urban_castle=0&hub=false&plaza=1&temple=0&walls=1&shantytown=0&gates=-1
449,Binistat,Weila Aldsa,Weila Aldsa Province,Abeia,The Union Sovereign Cities of the Abeian Strait,Esla'rei,Deities of Trade,1029,1295,623.59,34.69,16.4,161,63°F,Lisbon,,,,,plaza,,,{t1:gules;charges:[{charge:salmon;t:argent;p:jlh;t2:argent;size:0.7}];shield:heater},https://watabou.github.io/village-generator/?pop=1029&name=&seed=8563657060449&width=1400&height=636&tags=dead+end%2Cfarmland%2Cdense
450,Grathuss,Adamurralma,Adamurralma Province,Abeia,The Union Sovereign Cities of the Abeian Strait,Kili'ini,Deities of Trade,487,1250.96,658.89,32.98,14.24,161,64°F,Barcelona,,,,,plaza,,,{t1:ermine-argent-sable;division:{division:perBendSinister;t:gules;line:straight};ordinaries:[{ordinary:saltire;t:purpure;line:straight}];shield:heater},https://watabou.github.io/village-generator/?pop=487&name=&seed=8563657060450&width=800&height=364&tags=dead+end%2Cdense
451,Chernago,Vuldagos,Vuldagos Province,Bransha,Kingdom of Bransha,Saas'maean,Deities of Trade,1020,975.07,664.07,32.73,0.74,210,64°F,Barcelona,,,citadel,walls,plaza,,,{t1:or;ordinaries:[{ordinary:pilesInPoint;t:azure}];charges:[{charge:grenade;t:sable;p:jlh;t2:sable;size:0.7}];shield:heater},https://watabou.github.io/city-generator/?name=Chernago&population=1020&size=9&seed=8563657060451&river=1&coast=0&farms=1&citadel=1&urban_castle=0&hub=false&plaza=1&temple=0&walls=1&shantytown=0&gates=-1
452,Baymirbur,North Forest,North Forest Zone,Mesenolo,Mesenolan Republic,Maysiolian,Deities of Nature,1138,481.68,666.65,32.6,-23.42,210,64°F,Barcelona,,,,,plaza,,,{t1:sable;charges:[{charge:wolfHeadErased;t:argent;p:e;t2:argent;size:1.5}];shield:heater},https://watabou.github.io/village-generator/?pop=1138&name=&seed=8563657060452&width=1400&height=636&tags=highway%2Cdense
453,Ernurepene,North Forest,North Forest Zone,Mesenolo,Mesenolan Republic,Maysiolian,Deities of Nature,389,489.43,675.08,32.19,-23.04,266,63°F,Lisbon,,,,,plaza,,,{t1:potentEnPointe-argent-azure;division:{division:chevronny;t:vair-vert-or};shield:heater},https://watabou.github.io/village-generator/?pop=389&name=&seed=8563657060453&width=800&height=364&tags=highway%2Cdense
454,Aynak,Ydiyol,Ydiyol Province,Varcii,Varciian Commonwealth,Maysiolian,Deities of Nature,274,641.33,674.06,32.24,-15.6,13,64°F,Barcelona,,,,,plaza,,,{t1:gules;division:{division:perPale;t:argent;line:wavy};charges:[{charge:windmill;t:or;p:p;t2:or;t3:or;size:0.7};{charge:goutte;t:purpure;p:q;size:0.7}];shield:heater},https://watabou.github.io/village-generator/?pop=274&name=&seed=8563657060454&width=800&height=364&tags=dead+end%2Cfarmland
455,Skaj'ar't,Canth,Canth Province,Bransha,Kingdom of Bransha,Kili'ini,Deities of the Realm,111,1147.97,672.77,32.3,9.2,82,64°F,Barcelona,,,,,plaza,,,{t1:gules;ordinaries:[{ordinary:canton;t:or}];charges:[{charge:goat;t:argent;p:e;t2:argent;t3:argent;size:1.5}];shield:heater},https://watabou.github.io/village-generator/?pop=111&name=&seed=8563657060455&width=600&height=273&tags=river%2Chighway
456,Aturinorum,Victomia,Victomia Province,Lathanar,Dominion of Lathanar,Esla'rei,Deities of the Realm,162,1568,681,31.9,29.77,30,64°F,Barcelona,,port,,,,,,{t1:azure;charges:[{charge:wolfRampant;t:argent;p:e;t2:argent;t3:argent;size:1.5}];shield:heater},https://watabou.github.io/village-generator/?pop=162&name=&seed=8563657060456&width=600&height=273&tags=coast%2Cdead+end%2Cno+square
457,Tueialas,Adamurralma,Adamurralma Province,Abeia,The Union Sovereign Cities of the Abeian Strait,Esla'rei,Deities of Trade,118,1306.32,683.75,31.77,16.96,13,64°F,Barcelona,,,,,plaza,,,{t1:or;division:{division:perFess;t:sable;line:dovetailedIndented};charges:[{charge:sun;t:azure;p:k;size:0.7};{charge:mullet4;t:argent;p:n;size:0.7}];shield:heater},https://watabou.github.io/village-generator/?pop=118&name=&seed=8563657060457&width=600&height=273&tags=dead+end
458,Altunteli,South Forest,South Forest Commonwealth,Mesenolo,Mesenolan Republic,Maysiolian,Deities of Nature,113,496.25,686.68,31.63,-22.7,161,64°F,Barcelona,,,,walls,plaza,,,{t1:sable;ordinaries:[{ordinary:orle;t:argent}];shield:heater},https://watabou.github.io/city-generator/?name=Altunteli&population=113&size=6&seed=8563657060458&river=0&coast=0&farms=1&citadel=0&urban_castle=0&hub=false&plaza=1&temple=0&walls=1&shantytown=0&gates=-1
459,Verov,Old Moncosia,Old Moncosia,Moncosia,Kingdom of Moncosia,Saas'maean,Deities of Trade,729,1192.16,697.21,31.12,11.37,328,64°F,Barcelona,,,,walls,,,,{t1:argent;charges:[{charge:thistle;t:purpure;p:e;size:1.5}];shield:heater},https://watabou.github.io/city-generator/?name=Verov&population=729&size=8&seed=8563657060459&river=0&coast=0&farms=1&citadel=0&urban_castle=0&hub=false&plaza=0&temple=0&walls=1&shantytown=0&gates=-1
460,Pretelum,Adamurralma,Adamurralma Province,Abeia,The Union Sovereign Cities of the Abeian Strait,Esla'rei,Deities of the Realm,113,1314.34,697.98,31.08,17.35,161,66°F,Marrakesh,,,,,,,,{t1:argent;division:{division:perBend;t:gules;line:straight};charges:[{charge:lozengeFaceted;t:sable;p:lm;divided:counter;size:0.7}];shield:heater},https://watabou.github.io/village-generator/?pop=113&name=&seed=8563657060460&width=600&height=273&tags=highway%2Cno+square
461,Kardeborod,Hapole,Hapole Province,Irdre,Irdrean Consulate,Saas'maean,Deities of the Realm,935,983.6,709.08,30.54,1.16,52,66°F,Marrakesh,,,,walls,plaza,,,{t1:semy_of_estoile-gules-argent-smallest;ordinaries:[{ordinary:terrace;t:or;line:straight}];shield:heater},https://watabou.github.io/city-generator/?name=Kardeborod&population=935&size=9&seed=8563657060461&river=1&coast=0&farms=1&citadel=0&urban_castle=0&hub=false&plaza=1&temple=0&walls=1&shantytown=0&gates=-1
462,Abuna,Guixenada,Guixenada Province,Sueiana,Great Union of Sueiana,Therini,Deity of High Truth,577,1704.5,719,30.06,36.45,82,66°F,Marrakesh,,port,,,plaza,,,{t1:or;charges:[{charge:cowStatant;t:gules;p:jlh;t2:gules;t3:gules;size:0.7}];shield:heater},https://watabou.github.io/village-generator/?pop=577&name=&seed=8563657060462&width=1000&height=455&tags=coast%2Cdead+end%2Cdense
463,Devrekeli,South Forest,South Forest Commonwealth,Mesenolo,Mesenolan Republic,Maysiolian,Deities of Nature,114,506.88,730.13,29.52,-22.18,266,64°F,Barcelona,,,,,plaza,,,{t1:or;division:{division:chevronny;t:gules};charges:[{charge:armillarySphere;t:sable;p:e;size:1.5}];shield:heater},https://watabou.github.io/village-generator/?pop=114&name=&seed=8563657060463&width=600&height=273&tags=river%2Chighway
464,Lubutsk,Bandovia,Bandovia Province,Moncosia,Kingdom of Moncosia,Saas'maean,Deities of the Realm,2053,1096.44,731.27,29.46,6.68,161,66°F,Marrakesh,,,,walls,plaza,,,{t1:or;charges:[{charge:spear;t:sable;p:jeo;t2:sable;size:0.5}];shield:heater},https://watabou.github.io/city-generator/?name=Lubutsk&population=2053&size=11&seed=8563657060464&river=0&coast=0&farms=1&citadel=0&urban_castle=0&hub=false&plaza=1&temple=0&walls=1&shantytown=0&gates=-1
465,Balka,South Forest,South Forest Commonwealth,Mesenolo,Mesenolan Republic,Maysiolian,Deities of Nature,1563,557.22,741.08,28.98,-19.72,118,66°F,Marrakesh,,,,walls,plaza,temple,shanty town,{t1:argent;charges:[{charge:armillarySphere;t:azure;p:e;size:1.5}];shield:heater},https://watabou.github.io/city-generator/?name=Balka&population=1563&size=10&seed=8563657060465&river=0&coast=0&farms=1&citadel=0&urban_castle=0&hub=false&plaza=1&temple=1&walls=1&shantytown=1&gates=-1
466,Bontiapi,Adamurralma,Adamurralma Province,Abeia,The Union Sovereign Cities of the Abeian Strait,Esla'rei,Deities of the Realm,222,1272.86,747.53,28.67,15.32,161,68°F,Alexandria,,,,,plaza,,,{t1:argent;division:{division:perBend;t:gules;line:embattledNotched};charges:[{charge:crossSantiago;t:sable;p:l;size:0.7};{charge:cannon;t:or;p:m;size:0.7}];shield:heater},https://watabou.github.io/village-generator/?pop=222&name=&seed=8563657060466&width=800&height=364&tags=highway
467,Theliatica,Adamurralma,Adamurralma Province,Abeia,The Union Sovereign Cities of the Abeian Strait,Esla'rei,Deities of the Realm,649,1231,761,28.02,13.27,738,66°F,Marrakesh,,port,,,plaza,,,{t1:gules;division:{division:perSaltire;t:argent};charges:[{charge:goutte;t:or;p:b;size:0.5};{charge:inescutcheon;t:purpure;p:d;size:0.5};{charge:griffinPassant;t:purpure;p:f;size:0.5};{charge:crossPatonce;t:or;p:h;size:0.5}];shield:heater},https://watabou.github.io/village-generator/?pop=649&name=&seed=8563657060467&width=1000&height=455&tags=coast%2Cdead+end%2Cdense
468,Abraveira,Coimbra,Coimbra Province,Sueiana,Great Union of Sueiana,Therini,Deity of High Truth,931,1595.38,767.88,27.68,31.11,30,68°F,Alexandria,,,citadel,walls,plaza,,,{t1:semy_of_trefle-argent-gules;charges:[{charge:greyhoundSejant;t:azure;p:e;t2:azure;t3:sable;size:1.5}];shield:heater},https://watabou.github.io/city-generator/?name=Abraveira&population=931&size=8&seed=8563657060468&river=1&coast=0&farms=1&citadel=1&urban_castle=1&hub=false&plaza=1&temple=0&walls=1&shantytown=0&gates=-1
469,Yalbey,South Forest,South Forest Commonwealth,Mesenolo,Mesenolan Republic,Maysiolian,Deities of Nature,203,540,774.5,27.36,-20.56,30,68°F,Alexandria,,port,,,,,,{t1:or;charges:[{charge:armillarySphere;t:azure;p:e;size:1.5}];shield:heater},https://watabou.github.io/village-generator/?pop=203&name=&seed=8563657060469&width=800&height=364&tags=estuary%2Chighway%2Cno+square
470,Erseribe,South Forest,South Forest Commonwealth,Mesenolo,Mesenolan Republic,Maysiolian,Deities of Nature,1644,547.79,780.02,27.09,-20.18,30,68°F,Alexandria,,,citadel,walls,plaza,temple,,{t1:azure;charges:[{charge:armillarySphere;t:or;p:e;size:1.5}];shield:heater},https://watabou.github.io/city-generator/?name=Erseribe&population=1644&size=10&seed=8563657060470&river=0&coast=0&farms=1&citadel=1&urban_castle=1&hub=false&plaza=1&temple=1&walls=1&shantytown=0&gates=-1
471,Lolafsfsos,Inver,Inver Province,Inver-Khar,Twin Kingdoms of Inver-Khar,Ruvamian,Deities of Trade,452,1044.1,202.32,55.17,4.12,13,50°F,London,,,,walls,plaza,,,{t1:vert;division:{division:perBend;t:argent;line:straight};charges:[{charge:scrollClosed;t:or;p:l;t2:or;size:0.7};{charge:axe;t:gules;p:m;size:0.7}];shield:heater},https://watabou.github.io/city-generator/?name=Lolafsfsos&population=452&size=7&seed=8563657060471&river=0&coast=0&farms=1&citadel=0&urban_castle=0&hub=false&plaza=1&temple=0&walls=1&shantytown=0&gates=-1
472,Hesker,Inver,Inver Province,Inver-Khar,Twin Kingdoms of Inver-Khar,Ruvamian,Deities of Craft,1507,1023.4,272.56,51.75,3.1,82,52°F,Antwerp,,,citadel,walls,plaza,temple,,{t1:purpure;charges:[{charge:crossArrowed;t:argent;p:e;size:1.5}];shield:heater},https://watabou.github.io/city-generator/?name=Hesker&population=1507&size=10&seed=8563657060472&river=0&coast=0&farms=1&citadel=1&urban_castle=1&hub=false&plaza=1&temple=1&walls=1&shantytown=0&gates=-1
473,Aldals,Khar,Khar Province,Inver-Khar,Twin Kingdoms of Inver-Khar,Ruvamian,Deities of Trade,293,1294.42,270.17,51.87,16.37,1890,45°F,Halifax,,,,,plaza,,,{t1:or;division:{division:perPale;t:sable;line:wavy};shield:heater},https://watabou.github.io/village-generator/?pop=293&name=&seed=8563657060473&width=800&height=364&tags=dead+end
474,Chaityeun,Lifeng,Lifeng Province,Lauyien,Kingdom of Lauyien,Henyish,Deities of Wisdom,828,1577.5,268,51.98,30.23,52,52°F,Antwerp,,port,,walls,plaza,,,{t1:gules;charges:[{charge:caravel;t:or;p:e;t2:or;t3:or;size:1.5}];shield:heater},https://watabou.github.io/city-generator/?name=Chaityeun&population=828&size=8&seed=8563657060474&river=1&coast=1&farms=1&citadel=0&urban_castle=0&hub=false&plaza=1&temple=0&walls=1&shantytown=0&gates=-1&sea=0.98
475,Eyrikanes,Inver,Inver Province,Inver-Khar,Twin Kingdoms of Inver-Khar,Ruvamian,Deities of Craft,109,984.2,275.86,51.59,1.18,2953,41°F,Riga,,,,,,,,{t1:argent;charges:[{charge:pineTree;t:purpure;p:e;t2:purpure;size:1.5}];shield:heater},https://watabou.github.io/village-generator/?pop=109&name=&seed=8563657060475&width=600&height=273&tags=river%2Cdead+end%2Cno+square
476,Vopeid,Khar,Khar Province,Inver-Khar,Twin Kingdoms of Inver-Khar,Ruvamian,Deities of Trade,107,1269.37,283.48,51.22,15.15,30,52°F,Antwerp,,,,,plaza,,,{t1:or;charges:[{charge:deerHeadCaboshed;t:azure;p:jlh;t2:azure;size:0.7}];shield:heater},https://watabou.github.io/village-generator/?pop=107&name=&seed=8563657060476&width=600&height=273&tags=pond%2Cdead+end
